0.98, 2020-12-30 23:07:49, 
1, 2020-12-30 20:27:19,
0.95, 2020-12-31 22:19:20, 
1, 2020-12-31 14:05:47, 
1, 2020-12-31 11:20:43, 
0.95, 2020-12-31 10:08:14, 
0.93, 2020-12-31 09:37:31, 
0.95, 2020-12-31 09:07:23, 
0.95, 2020-12-31 07:20:19, 
0.93, 2020-12-31 06:53:02, 
0.94, 2020-12-31 06:23:02, 
0.93, 2020-12-31 05:52:38, 
0.94, 2020-12-31 04:52:38, 
0.95, 2020-12-31 03:52:37, 
0.93, 2020-12-31 03:20:49, 
0.91, 2020-12-31 02:50:48, 
0.92, 2020-12-31 01:53:57,
0.95, 2021-01-01 16:20:44, 
0.94, 2021-01-01 10:55:58, 
0.95, 2021-01-01 10:25:57, 
0.92, 2021-01-01 09:55:56, 
0.93, 2021-01-01 09:25:55, 
0.94, 2021-01-01 08:55:55, 
0.93, 2021-01-01 08:21:47, 
0.92, 2021-01-01 07:55:46, 
0.91, 2021-01-01 07:24:18, 
0.95, 2021-01-01 06:54:17, 
0.92, 2021-01-01 05:40:22, 
0.93, 2021-01-01 05:10:21, 
0.92, 2021-01-01 04:31:48, 
0.93, 2021-01-01 04:01:47, 
0.97, 2021-01-01 03:31:43, 
0.91, 2021-01-01 02:52:28, 
0.94, 2021-01-01 02:03:13, 
0.94, 2021-01-01 00:17:48,
0.89, 2021-01-02 22:43:39, 
0.93, 2021-01-02 19:59:18, 
0.97, 2021-01-02 17:43:57, 
0.99, 2021-01-02 17:39:51, 
0.85, 2021-01-02 17:08:51, 
0.88, 2021-01-02 17:08:02, 
0.95, 2021-01-02 10:40:07, 
0.93, 2021-01-02 09:17:17, 
0.92, 2021-01-02 09:17:16, 
0.95, 2021-01-02 08:59:37, 
0.96, 2021-01-02 08:46:15, 
0.94, 2021-01-02 08:16:14, 
0.93, 2021-01-02 07:16:11, 
0.94, 2021-01-02 06:46:10, 
0.95, 2021-01-02 06:15:19, 
0.9, 2021-01-02 05:45:19, 
0.91, 2021-01-02 05:15:18, 
0.93, 2021-01-02 04:45:17, 
0.94, 2021-01-02 04:15:16, 
0.99, 2021-01-02 03:45:15, 
0.95, 2021-01-02 02:32:54, 
0.9, 2021-01-02 01:30:21, 
0.97, 2021-01-02 01:07:02,
0.92, 2021-01-03 14:16:35, 
0.9, 2021-01-03 13:13:56, 
0.97, 2021-01-03 10:33:11, 
0.99, 2021-01-03 10:08:52, 
0.96, 2021-01-03 09:32:54, 
0.95, 2021-01-03 09:17:54, 
0.93, 2021-01-03 08:35:41, 
0.94, 2021-01-03 08:05:40, 
0.95, 2021-01-03 07:35:39, 
0.93, 2021-01-03 07:05:35, 
0.92, 2021-01-03 06:34:47, 
0.97, 2021-01-03 05:47:43, 
0.98, 2021-01-03 05:34:46, 
0.9, 2021-01-03 05:04:46, 
0.95, 2021-01-03 04:18:32, 
0.92, 2021-01-03 03:48:32, 
0.94, 2021-01-03 02:52:11, 
0.95, 2021-01-03 02:16:20, 
0.94, 2021-01-03 01:30:14, 
0.91, 2021-01-03 01:00:14, 
0.93, 2021-01-03 00:30:13,
0.98, 2021-01-04 23:06:53, 
1, 2021-01-04 20:22:42, 
1, 2021-01-04 12:52:39, 
0.96, 2021-01-04 09:45:55, 
0.96, 2021-01-04 09:35:10, 
0.94, 2021-01-04 09:24:58, 
0.96, 2021-01-04 09:04:52, 
0.9, 2021-01-04 08:34:24, 
0.96, 2021-01-04 08:04:23, 
0.93, 2021-01-04 07:34:22, 
0.96, 2021-01-04 07:04:21, 
0.96, 2021-01-04 06:34:21, 
0.94, 2021-01-04 06:04:10, 
0.94, 2021-01-04 05:34:05, 
0.93, 2021-01-04 04:34:04, 
0.92, 2021-01-04 03:31:57, 
0.94, 2021-01-04 02:31:56, 
0.91, 2021-01-04 01:58:28, 
0.95, 2021-01-04 01:28:27, 
0.98, 2021-01-04 01:14:32, 
0.96, 2021-01-04 01:13:41, 
0.96, 2021-01-04 01:13:20, 
0.95, 2021-01-04 01:13:01, 
0.95, 2021-01-04 00:58:26,
0.96, 2021-01-05 22:04:55, 
1, 2021-01-05 19:07:04, 
1, 2021-01-05 18:17:18, 
0.97, 2021-01-05 12:57:35, 
0.96, 2021-01-05 10:23:38, 
0.96, 2021-01-05 09:56:39, 
0.93, 2021-01-05 09:26:04, 
0.95, 2021-01-05 08:56:03, 
0.93, 2021-01-05 08:26:02, 
0.95, 2021-01-05 07:56:01, 
0.94, 2021-01-05 07:25:43, 
0.96, 2021-01-05 07:24:37, 
0.96, 2021-01-05 06:52:49, 
0.95, 2021-01-05 06:22:13, 
0.95, 2021-01-05 05:52:12, 
0.94, 2021-01-05 05:16:59, 
0.93, 2021-01-05 04:17:06, 
0.96, 2021-01-05 03:47:05, 
0.93, 2021-01-05 03:07:37, 
0.94, 2021-01-05 02:37:36, 
0.97, 2021-01-05 02:07:35, 
1, 2021-01-05 01:57:29, 
0.94, 2021-01-05 01:56:37, 
0.94, 2021-01-05 01:56:03, 
0.98, 2021-01-05 01:55:33, 
0.99, 2021-01-05 01:55:11, 
0.92, 2021-01-05 01:34:34, 
0.99, 2021-01-05 00:13:49,
0.97, 2021-01-06 17:45:49, 
0.98, 2021-01-06 16:34:30, 
1, 2021-01-06 15:31:11, 
0.95, 2021-01-06 07:55:57, 
0.98, 2021-01-06 07:25:26, 
0.93, 2021-01-06 06:55:23, 
0.95, 2021-01-06 06:15:38, 
0.96, 2021-01-06 05:45:37, 
0.96, 2021-01-06 05:13:23, 
0.91, 2021-01-06 04:43:23, 
0.95, 2021-01-06 03:43:22, 
0.93, 2021-01-06 03:13:21, 
0.94, 2021-01-06 02:43:20, 
0.9, 2021-01-06 02:13:19, 
0.93, 2021-01-06 01:43:18, 
0.95, 2021-01-06 00:43:18, 
0.98, 2021-01-06 00:08:52, 
1, 2021-01-06 00:07:40,
0.97, 2021-01-07 12:07:32, 
0.98, 2021-01-07 08:17:22, 
0.94, 2021-01-07 07:48:10, 
0.95, 2021-01-07 06:21:56, 
0.94, 2021-01-07 05:51:56, 
0.94, 2021-01-07 05:05:20, 
0.95, 2021-01-07 04:35:19, 
0.91, 2021-01-07 04:05:18, 
0.92, 2021-01-07 03:24:08, 
0.94, 2021-01-07 02:54:07, 
0.91, 2021-01-07 02:24:06, 
0.93, 2021-01-07 01:54:05, 
0.97, 2021-01-07 00:02:13,
0.97, 2021-01-08 19:26:20, 
0.92, 2021-01-08 09:40:58, 
0.93, 2021-01-08 09:10:57, 
0.95, 2021-01-08 08:40:26, 
0.93, 2021-01-08 08:04:08, 
0.94, 2021-01-08 06:56:30, 
0.97, 2021-01-08 05:56:29, 
0.94, 2021-01-08 04:56:29, 
0.96, 2021-01-08 03:29:42, 
0.96, 2021-01-08 02:59:32, 
0.98, 2021-01-08 02:29:31, 
0.97, 2021-01-08 01:58:40,
0.91, 2021-01-09 05:00:32, 
0.94, 2021-01-09 04:30:31, 
0.92, 2021-01-09 04:00:25, 
0.93, 2021-01-09 03:30:24, 
0.95, 2021-01-09 02:58:11, 
0.92, 2021-01-09 02:28:11, 
0.93, 2021-01-09 01:57:03, 
0.95, 2021-01-09 01:27:01, 
0.95, 2021-01-09 00:57:01, 
0.93, 2021-01-09 00:27:00,
0.96, 2021-01-10 17:20:37, 
0.96, 2021-01-10 14:43:47,
1, 2021-01-11 12:27:05,
0.97, 2021-01-12 14:29:14,
0.98, 2021-01-13 06:46:42, 
0.95, 2021-01-13 05:39:31, 
0.96, 2021-01-13 05:23:19, 
0.92, 2021-01-13 03:48:17, 
0.92, 2021-01-13 03:18:16, 
0.94, 2021-01-13 02:48:15, 
0.93, 2021-01-13 02:17:22, 
0.93, 2021-01-13 01:47:21, 
0.93, 2021-01-13 01:17:20, 
0.98, 2021-01-13 00:47:19, 
0.98, 2021-01-13 00:15:44,
1, 2021-01-14 17:40:54, 
0.97, 2021-01-14 15:17:01,
1, 2021-01-15 15:17:09, 
0.95, 2021-01-15 13:26:47, 
0.95, 2021-01-15 08:01:47, 
0.91, 2021-01-15 07:14:37, 
0.95, 2021-01-15 06:44:36, 
0.92, 2021-01-15 06:10:05, 
0.94, 2021-01-15 05:40:04, 
0.94, 2021-01-15 05:07:04, 
0.96, 2021-01-15 04:37:03, 
0.92, 2021-01-15 04:07:00, 
0.96, 2021-01-15 03:36:59, 
0.96, 2021-01-15 03:06:58, 
0.94, 2021-01-15 02:36:58, 
0.96, 2021-01-15 02:06:42, 
0.91, 2021-01-15 01:36:41, 
0.92, 2021-01-15 01:06:35, 
0.92, 2021-01-15 00:26:05,
0.95, 2021-01-17 20:37:52, 
1, 2021-01-17 13:09:59, 
0.96, 2021-01-17 10:03:49, 
0.96, 2021-01-17 09:13:34, 
0.91, 2021-01-17 08:13:33, 
0.94, 2021-01-17 07:43:32, 
0.95, 2021-01-17 07:13:31, 
0.94, 2021-01-17 06:43:30, 
0.88, 2021-01-17 06:13:30, 
0.9, 2021-01-17 05:43:29, 
0.91, 2021-01-17 05:13:28, 
0.92, 2021-01-17 04:24:45, 
0.95, 2021-01-17 03:54:44, 
0.93, 2021-01-17 03:24:43, 
0.95, 2021-01-17 02:54:42, 
0.96, 2021-01-17 01:56:07,
0.93, 2021-01-18 08:25:03, 
0.92, 2021-01-18 07:55:02, 
0.94, 2021-01-18 07:25:01, 
0.94, 2021-01-18 06:49:06, 
0.99, 2021-01-18 05:47:47, 
0.97, 2021-01-18 05:04:51, 
0.93, 2021-01-18 04:34:03, 
0.97, 2021-01-18 04:04:02, 
0.92, 2021-01-18 03:31:42, 
0.93, 2021-01-18 03:01:41, 
0.94, 2021-01-18 02:31:40, 
0.96, 2021-01-18 02:01:39, 
0.91, 2021-01-18 01:31:11,
